IID,cluster
HORUS003910310096,0
HORUS003910310882,0
HORUS003910309694,0
HORUS007200121995,0
HORUS003910310953,0
HORUS007200121950,0
HORUS003910309810,0
HORUS007200121436,0
HORUS003992568022,0
HORUS003991270359,0
HORUS003991270192,0
HORUS003912557010,0
HORUS007200119942,0
HORUS003992568349,0
HORUS007200119919,0
HORUS006992569169,0
HORUS007200119975,0
HORUS007200121212,0
HORUS003991270307,0
HORUS003991271131,0
HORUS003910310319,0
HORUS003991270500,0
HORUS003912557577,0
HORUS007200119830,0
HORUS007200121448,0
HORUS003991270415,0
HORUS003991270846,0
HORUS003992568945,0
HORUS003992568361,1
HORUS003912556907,0
HORUS003992568191,0
HORUS003992568291,0
HORUS003910310748,1
HORUS003912557050,0
HORUS003910310737,1
HORUS003992567928,0
HORUS007200119939,0
HORUS007200121533,0
HORUS007200118213,0
HORUS003910310825,0
HORUS003992568080,0
HORUS003992567984,0
HORUS007200119673,0
HORUS003992569091,0
HORUS003992568957,0
HORUS003991271025,0
HORUS003992568205,0
HORUS003912556923,0
HORUS003992568138,0
HORUS003991270949,0
HORUS007200119666,0
HORUS003992568694,0
HORUS003992568029,0
HORUS007200121945,0
HORUS003912556825,0
HORUS003912557086,0
HORUS003910310908,0
HORUS003912557557,1
HORUS007200119668,0
HORUS007200121198,0
HORUS003991270279,0
HORUS003910310926,0
HORUS003910310745,0
HORUS003991270501,0
HORUS003910310259,0
HORUS003991270681,1
HORUS007200121434,0
HORUS003910310372,0
HORUS003912557085,0
HORUS003992567987,0
HORUS003910310207,0
HORUS003992567953,0
HORUS003910309888,0
HORUS003912556659,0
HORUS003910310999,0
HORUS007200120230,0
HORUS003992568169,0
HORUS007200119882,0
HORUS003912557039,0
HORUS003992568314,0
HORUS003912556527,0
HORUS003992568773,0
HORUS003912556521,0
HORUS007200119817,0
HORUS003910309944,0
HORUS003992567966,0
HORUS003991270383,0
HORUS003992567839,0
HORUS003912556619,0
HORUS003992568355,0
HORUS003912557114,0
HORUS003992567948,0
HORUS003910310514,0
HORUS003912556571,0
HORUS003992569733,0
HORUS003910310879,0
HORUS003992568315,1
HORUS007200121431,0
HORUS003992569276,0
HORUS003910310519,1
HORUS003992568706,1
HORUS003992569292,0
HORUS003992567983,0
HORUS003992568352,0
HORUS003910310817,0
HORUS007200120171,0
HORUS003992568729,0
HORUS007200121211,0
HORUS003992568305,0
HORUS003992567858,0
HORUS007200119770,0
HORUS007200120068,0
HORUS003992568202,0
HORUS003992567986,0
HORUS007200119716,0
HORUS003912556902,0
HORUS003992568233,0
HORUS007200120055,0
HORUS007200121999,0
HORUS003912556468,0
HORUS003991270674,0
HORUS003991271035,0
HORUS007200120006,0
HORUS003992568097,0
HORUS007200121425,0
HORUS003910310086,0
HORUS003992568219,0
HORUS003910309821,0
HORUS007200119722,0
HORUS003992568869,0
